text,label
"Ik ben een jongen. Mijn naam is Mark. Ik ben 7 jaar oud. Ik woon in Nederland.",A1
"Ik ga naar de winkel om brood te kopen. De winkel is dichtbij mijn huis. Ik koop altijd vers brood.",A2
"Vandaag ga ik naar de stad om een cadeau voor mijn vriend te kopen. Ik moet naar de supermarkt om ingrediënten voor het avondeten te halen.",B1
"Het is belangrijk om goed voorbereid te zijn op een sollicitatiegesprek. Je moet niet alleen je cv goed presenteren, maar ook je communicatieve vaardigheden inzetten om de interviewer te overtuigen van jouw kwaliteiten.",B2
"De economische situatie in Europa is complex. Er wordt gesproken over de gevolgen van de Brexit en de invloed van de wereldwijde handelsoorlogen. Het is belangrijk om verschillende perspectieven in overweging te nemen om een goed begrip te krijgen van de situatie.",C1
"De snelheidsbeperkingen die worden opgelegd door overheden over de wereld variëren sterk, en hoewel ze gericht zijn op het verbeteren van de verkeersveiligheid, zijn er verschillende argumenten voor en tegen dergelijke maatregelen, afhankelijk van het land en de specifieke infrastructuur.",C2
"Ik heb een hond. Hij is groot en zwart. Hij houdt van wandelen.",A1
"Mijn ouders werken in een ziekenhuis. Mijn moeder is arts en mijn vader is verpleegkundige. Ze werken vaak lange uren, maar ze vinden hun werk heel belangrijk.",A2
"De planeet Mars is de vierde planeet van het zonnestelsel. Wetenschappers hebben jarenlang geprobeerd te begrijpen waarom er geen leven is op Mars. Er zijn verschillende theorieën over de mogelijke oorzaken.",B1
"De vraag of kunstmatige intelligentie ooit de menselijke intelligentie kan evenaren, is een onderwerp van intensieve discussie. Sommige wetenschappers geloven dat het mogelijk is, terwijl anderen het idee als sciencefiction afdoen.",B2
"De relatie tussen taal en cultuur is diepgeworteld en complex. Taal is niet alleen een communicatiemiddel, maar ook een spiegel van de maatschappij en haar waarden. Door taal te bestuderen, kunnen we inzicht krijgen in de manier waarop culturen zich ontwikkelen en met elkaar in contact komen.",C1
"Het fenomeen van globalisering heeft de grenzen tussen landen vervaagd. Economieën zijn steeds meer met elkaar verweven, maar dit heeft niet alleen positieve gevolgen. Er zijn veel mensen die stellen dat globalisering de ongelijkheid vergroot en de culturele diversiteit bedreigt.",C2
"Ik hou van lezen. Ik lees elke dag een boek.",A1
"Mijn broer studeert aan de universiteit. Hij leert veel over geschiedenis en economie. Hij heeft al veel interessante boeken gelezen.",A2
"Het boekenweekend is een jaarlijkse gebeurtenis in Nederland, waarbij verschillende auteurs hun nieuwste werken presenteren. Het evenement trekt altijd veel bezoekers, vooral omdat boekenliefhebbers de kans krijgen om met hun favoriete schrijvers te praten.",B1
"De digitale transformatie heeft veel invloed op de manier waarop bedrijven opereren. Technologie verandert de werkomgeving, van cloud computing tot kunstmatige intelligentie. Dit biedt kansen voor bedrijven, maar brengt ook nieuwe uitdagingen met zich mee, vooral op het gebied van privacy en beveiliging.",B2
"De ethiek van genetische modificatie is een onderwerp van hevige debatten. Enerzijds kan genetische manipulatie bijdragen aan de oplossing van wereldvoedselproblemen, maar anderzijds roept het ernstige vragen op over de grenzen van de wetenschap en de potentiële risico’s voor de natuur.",C1
"De technologische vooruitgang in de biotechnologie, in combinatie met de ontwikkelingen in de geneeskunde, heeft de mogelijkheid om het menselijke genoom te bewerken en zelfs te optimaliseren. Dit opent de deur naar genetische therapieën voor ziektes die vroeger ongeneeslijk waren, maar roept tegelijkertijd ethische vraagstukken op.",C2
"Mijn moeder kookt het avondeten. Ze maakt soep.",A1
"De zon schijnt en het is warm buiten. Ik ga naar het park om te spelen.",A2
"Tijdens de zomer zijn er veel festivals in de stad. Het is een leuke manier om muziek te ontdekken en nieuwe mensen te ontmoeten. Veel mensen genieten van het buitenleven en de gezellige sfeer.",B1
"De impact van klimaatverandering is steeds zichtbaarder geworden. Wereldwijd stijgen de temperaturen, wat leidt tot veranderingen in het milieu. Dit heeft gevolgen voor de biodiversiteit, maar ook voor de economieën van veel landen.",B2
"De ontwikkeling van quantumcomputers kan de toekomst van de technologie drastisch veranderen. Quantumcomputers hebben het potentieel om problemen op te lossen die klassieke computers niet aankunnen, zoals het kraken van versleutelde gegevens of het simuleren van moleculaire structuren voor medicijnen.",C1
"De onomkeerbare gevolgen van de klimaatcrisis dwingen landen om gezamenlijk actie te ondernemen. Deze wereldwijde uitdaging vereist een herziening van economische systemen en de integratie van duurzaamheid in alle aspecten van het dagelijks leven, van energieproductie tot mobiliteit en voedselproductie.",C2
"Ik woon in Nederland. Mijn naam is Anna. Ik heb een hond. Ik ga elke dag wandelen in het park.",A1
"Mijn favoriete hobby is lezen. Ik lees boeken over geschiedenis. Ik vind geschiedenis interessant omdat ik veel leer over de wereld. Soms lees ik ook boeken over reizen.",A2
"Ik werk in een kantoor als administratief medewerker. Mijn werkdag begint om negen uur 's ochtends. Ik beantwoord e-mails, maak rapporten en help klanten. In de middag overleg ik met mijn collega's over verschillende projecten.",B1
"De economie is een belangrijk onderwerp in de politiek. Veel mensen maken zich zorgen over de toekomst van de arbeidsmarkt. Er wordt gesproken over de gevolgen van automatisering en digitalisering. We moeten manieren vinden om werkgelegenheid te behouden in deze snel veranderende wereld.",B2
"De impact van klimaatverandering op het milieu is steeds duidelijker zichtbaar. Wetenschappers waarschuwen voor extreme weersomstandigheden en stijgende zeespiegels. Het is van cruciaal belang dat regeringen wereldwijd actie ondernemen om de CO2-uitstoot te verminderen. Dit vereist niet alleen beleidsveranderingen, maar ook een culturele verschuiving in hoe we omgaan met het milieu.",C1
